shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10__2____1__IT_1,40.396948187913,-3.77481932084139,1000001,0
10__2____1__IT_1,40.3970564278522,-3.77490968964402,1000002,0.014254155945
10__2____1__IT_1,40.3974595447802,-3.77525202832201,1000003,0.081860355902
10__2____1__IT_1,40.397493222103,-3.7752681975221,1000004,0.153448765346
10__2____1__IT_1,40.3975702035636,-3.77530379733101,1000005,0.234100782924
10__2____1__IT_1,40.3976446464744,-3.77535830904746,1000006,0.324223107078
10__2____1__IT_1,40.3976734124568,-3.77538704577005,1000007,0.418363371232
10__2____1__IT_1,40.3977189950267,-3.77542702140396,1000008,0.518595578096
10__2____1__IT_1,40.3977621219192,-3.77547328021969,1000009,0.625018906663
10__2____1__IT_1,40.3978136103393,-3.77553226236816,1000010,0.739039750013
10__2____1__IT_1,40.3978806138073,-3.77561667379917,1000011,0.863387134086
10__2____1__IT_1,40.39793916041,-3.77570256381034,1000012,0.997500177193
10__2____1__IT_1,40.3979976425011,-3.77579792493137,1000013,1.14198813624
10__2____1__IT_1,40.3980262283565,-3.77585349013829,1000014,1.292159928598
10__2____1__IT_1,40.3980691124099,-3.77593604505671,1000015,1.450802052435
10__2____1__IT_1,40.398108353852,-3.77602171628013,1000016,1.617919796284
10__2____1__IT_1,40.3982344216934,-3.77629460592632,1000017,1.81209634246
10__2____1__IT_1,40.3983158221007,-3.77647398396597,1000018,2.02397568223
10__2____1__IT_1,40.398418718548,-3.77670073140525,1000019,2.258232682349
10__2____1__IT_1,40.3987231514698,-3.77736390488409,1000020,2.558136544374
10__2____1__IT_1,40.3987754100742,-3.77748760414137,1000021,2.870034351619
10__2____1__IT_1,40.3988157513467,-3.77758907067583,1000022,3.191637953868
10__2____1__IT_1,40.3988500614394,-3.77769046793054,1000023,3.522651838604
10__2____1__IT_1,40.3988807403739,-3.77779340135057,1000024,3.863041555245
10__2____1__IT_1,40.398901958752,-3.7778678210965,1000025,4.210171836011
10__2____1__IT_1,40.3989253780726,-3.77797382917127,1000026,4.566666610993
10__2____1__IT_1,40.3989568408832,-3.77813990013978,1000027,4.937681353011
10__2____1__IT_1,40.3989952964451,-3.77834234951335,1000028,5.326399394025
10__2____1__IT_1,40.3990349259898,-3.77854954738442,1000029,5.733243263681
10__2____1__IT_1,40.3990757844321,-3.77875360394518,1000030,6.15798852523
10__2____1__IT_1,40.3991216259526,-3.7789340444343,1000031,6.598870252506
10__2____1__IT_1,40.3991618304267,-3.77905602646527,1000032,7.051025024469
10__2____1__IT_1,40.3992057269531,-3.77916700501433,1000033,7.513783839541
10__2____1__IT_1,40.3992616341712,-3.77928601268012,1000034,7.988396566555
10__2____1__IT_1,40.3993105166985,-3.77937337640445,1000035,8.47219691196
10__2____1__IT_1,40.3993726152531,-3.77946878435399,1000036,8.966630880876
10__2____1__IT_1,40.3994312130089,-3.77954679205311,1000037,9.470345767718
10__2____1__IT_1,40.3995162349711,-3.77964246124671,1000038,9.986510101702
